epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2151,1.54163,2.11694,1.36194,0.8071,0.80553,0.8457,0.57717,1.1376,0.99224,1.01832,0.0673587,0.00032971,0.00032971
2,112.591,1.32807,1.26144,1.26092,0.85695,0.88993,0.9007,0.51849,1.45138,0.85593,1.02565,0.0343586,0.000662971,0.000662971
3,167.538,1.3157,1.18464,1.26138,0.89577,0.90116,0.92708,0.6464,1.04318,0.71666,0.98565,0.00135826,0.000995944,0.000995944
4,228.795,1.28795,1.09937,1.24487,0.92694,0.93397,0.93764,0.63211,1.12087,0.64844,0.95776,0.000999023,0.000999023,0.000999023
5,285.914,1.26869,1.0359,1.23439,0.93489,0.93194,0.93436,0.61956,1.18406,0.68825,0.99292,0.000998264,0.000998264,0.000998264
6,343.654,1.2467,0.99833,1.21918,0.93505,0.94236,0.94153,0.65717,1.04166,0.59329,0.94569,0.000997288,0.000997288,0.000997288
7,406.82,1.23211,0.97395,1.21603,0.93051,0.93252,0.93681,0.69325,0.92188,0.61115,0.93822,0.000996097,0.000996097,0.000996097
8,468.174,1.22101,0.95519,1.20186,0.94172,0.94603,0.94811,0.64356,1.11201,0.58076,0.9658,0.00099469,0.00099469,0.00099469
9,525.129,1.18823,0.93066,1.18521,0.93356,0.93967,0.94308,0.60869,1.22285,0.64928,0.99817,0.000993068,0.000993068,0.000993068
10,582.503,1.18799,0.91471,1.18491,0.94854,0.95574,0.95433,0.66328,1.06867,0.57261,0.9603,0.000991232,0.000991232,0.000991232
11,639.135,1.15384,0.88448,1.16213,0.94258,0.94194,0.94895,0.68843,0.96798,0.57226,0.92868,0.000989183,0.000989183,0.000989183
12,696.17,1.1654,0.90573,1.17919,0.94344,0.95844,0.95515,0.68728,0.98876,0.55587,0.94974,0.000986922,0.000986922,0.000986922
13,753.032,1.15449,0.8921,1.17639,0.93757,0.94796,0.94563,0.64501,1.13113,0.57916,0.96969,0.000984449,0.000984449,0.000984449
14,810.275,1.18241,0.89543,1.18005,0.93589,0.95053,0.94762,0.6493,1.12264,0.55802,0.94614,0.000981765,0.000981765,0.000981765
15,867.362,1.13918,0.84178,1.15235,0.9525,0.95369,0.95582,0.71381,0.90523,0.50572,0.93177,0.000978873,0.000978873,0.000978873
16,930.262,1.13554,0.8645,1.15943,0.94755,0.95148,0.94486,0.70949,0.88358,0.51469,0.9228,0.000975773,0.000975773,0.000975773
17,988.52,1.14301,0.87208,1.16669,0.94429,0.95605,0.96061,0.66872,1.06386,0.55092,0.96903,0.000972466,0.000972466,0.000972466
18,1046.4,1.13612,0.83006,1.15194,0.95093,0.95906,0.95315,0.66581,1.01657,0.53212,0.95217,0.000968955,0.000968955,0.000968955
19,1104.1,1.1162,0.83245,1.15214,0.93766,0.9473,0.95346,0.66691,1.07073,0.5685,0.95308,0.000965239,0.000965239,0.000965239
20,1161.77,1.11469,0.84054,1.14625,0.93731,0.94945,0.95366,0.67113,1.0715,0.53088,0.96687,0.000961322,0.000961322,0.000961322
21,1219.11,1.1024,0.83504,1.14275,0.94977,0.96018,0.9547,0.717,0.90789,0.50384,0.93555,0.000957205,0.000957205,0.000957205
22,1280.42,1.06636,0.79259,1.11965,0.94927,0.95874,0.95453,0.71309,0.91682,0.48399,0.92665,0.000952889,0.000952889,0.000952889
23,1337.52,1.10435,0.81301,1.14488,0.95481,0.96069,0.95475,0.67237,1.05396,0.50929,0.94704,0.000948377,0.000948377,0.000948377
24,1394.72,1.11095,0.82329,1.14015,0.94546,0.95174,0.95309,0.7007,0.95691,0.49415,0.93202,0.000943671,0.000943671,0.000943671
25,1451.87,1.08439,0.77922,1.12728,0.94821,0.96194,0.95942,0.73043,0.87261,0.4761,0.92111,0.000938772,0.000938772,0.000938772
26,1512.8,1.09556,0.79972,1.1353,0.95518,0.9599,0.96019,0.71734,0.91555,0.47206,0.92801,0.000933683,0.000933683,0.000933683
27,1569.56,1.05445,0.76047,1.12221,0.94449,0.94912,0.94256,0.7117,0.89346,0.49213,0.92561,0.000928405,0.000928405,0.000928405
28,1626.85,1.09804,0.81681,1.14384,0.94633,0.95834,0.9576,0.67707,1.06258,0.51198,0.94948,0.000922942,0.000922942,0.000922942
29,1684.27,1.06671,0.77062,1.11738,0.948,0.95885,0.96068,0.71035,0.9258,0.48992,0.92555,0.000917296,0.000917296,0.000917296
30,1742.13,1.07038,0.77729,1.12461,0.94737,0.95476,0.96077,0.71684,0.90804,0.49984,0.92392,0.000911469,0.000911469,0.000911469
31,1799.96,1.07023,0.77118,1.12321,0.95262,0.95179,0.9595,0.71343,0.91472,0.48882,0.92859,0.000905463,0.000905463,0.000905463
32,1857.63,1.05957,0.77114,1.11936,0.94451,0.95808,0.95778,0.65831,1.09307,0.50968,0.94986,0.000899282,0.000899282,0.000899282
33,1914.63,1.0526,0.754,1.11723,0.9451,0.95576,0.95927,0.72793,0.8747,0.46281,0.92164,0.000892928,0.000892928,0.000892928
34,1971.93,1.073,0.78121,1.12681,0.95194,0.96121,0.95995,0.69418,0.99557,0.48713,0.93177,0.000886404,0.000886404,0.000886404
35,2028.97,1.05251,0.76549,1.11486,0.95249,0.96086,0.96128,0.69264,0.9922,0.48612,0.93681,0.000879713,0.000879713,0.000879713
36,2086.33,1.04356,0.75435,1.10622,0.94503,0.95944,0.95077,0.72481,0.86917,0.46809,0.91715,0.000872857,0.000872857,0.000872857
37,2143.44,1.05071,0.76565,1.11831,0.94884,0.9566,0.95335,0.69257,0.98324,0.48105,0.93036,0.000865839,0.000865839,0.000865839
38,2200.09,1.03833,0.74218,1.10399,0.95316,0.9599,0.96239,0.7015,0.98811,0.47788,0.93377,0.000858664,0.000858664,0.000858664
39,2257.15,1.03211,0.74506,1.10356,0.9504,0.96069,0.95732,0.71896,0.89889,0.46138,0.91277,0.000851333,0.000851333,0.000851333
40,2314.01,1.0425,0.75196,1.1163,0.94964,0.96074,0.95651,0.71929,0.90439,0.455,0.91737,0.000843851,0.000843851,0.000843851
41,2371.43,1.04257,0.75983,1.11231,0.95074,0.96058,0.9528,0.70032,0.96491,0.46947,0.93081,0.00083622,0.00083622,0.00083622
42,2428.66,1.03099,0.74091,1.10983,0.95183,0.96074,0.96045,0.68978,1.03013,0.48187,0.94971,0.000828443,0.000828443,0.000828443
43,2485.75,1.02678,0.72534,1.10038,0.94636,0.95757,0.94755,0.72961,0.82834,0.45782,0.90194,0.000820525,0.000820525,0.000820525
44,2542.53,1.02392,0.7321,1.1046,0.94363,0.95679,0.95756,0.70232,0.96083,0.49126,0.92754,0.000812468,0.000812468,0.000812468
45,2599.71,1.02747,0.72165,1.10144,0.94886,0.95918,0.95859,0.68342,1.03991,0.47949,0.94189,0.000804277,0.000804277,0.000804277
46,2657.26,1.01853,0.728,1.09798,0.94711,0.95924,0.95206,0.72907,0.84501,0.45111,0.9057,0.000795954,0.000795954,0.000795954
47,2715.02,1.01619,0.72212,1.09815,0.9521,0.96333,0.95969,0.66186,1.11031,0.48753,0.94925,0.000787503,0.000787503,0.000787503
48,2771.66,1.01694,0.71325,1.10073,0.95022,0.95673,0.96148,0.71289,0.93998,0.46014,0.92892,0.000778929,0.000778929,0.000778929
49,2828.7,1.01504,0.7317,1.10734,0.95392,0.96252,0.96357,0.71416,0.94192,0.4518,0.91987,0.000770234,0.000770234,0.000770234
50,2885.88,1.01899,0.72969,1.10468,0.95092,0.95268,0.95932,0.7194,0.90177,0.45457,0.91033,0.000761423,0.000761423,0.000761423
51,2943.15,1.00672,0.71875,1.0976,0.95609,0.96034,0.95909,0.72797,0.86724,0.44329,0.90052,0.0007525,0.0007525,0.0007525
52,3000.3,0.99805,0.70745,1.08653,0.94808,0.95634,0.95903,0.69308,1.00589,0.47745,0.93278,0.000743468,0.000743468,0.000743468
53,3057.41,1.01027,0.70095,1.09585,0.9526,0.95745,0.95931,0.73017,0.88248,0.43681,0.90709,0.000734332,0.000734332,0.000734332
54,3114.67,1.00429,0.7155,1.09423,0.95304,0.95375,0.94784,0.72388,0.83869,0.45141,0.90509,0.000725094,0.000725094,0.000725094
55,3171.92,1.00249,0.704,1.09332,0.94988,0.95845,0.953,0.72591,0.88496,0.45555,0.90947,0.000715761,0.000715761,0.000715761
